variable	value
Stress	0.00820372560954992
Category	-0.000571374668804891
Morph.Type	0.02775953168178
Before	0.0937731492408821
After	0.0244750861347721
Sex	0.00119804373137464
Education	0.0154717983691367
Job	0.0250862201798401
After.New	0.00658524982909861
Center.Age	0.0328575893783006
Age.Group	0.00279939342354092
Phoneme	-0.00481130828033173
